reviewerID,asin,reviewText,summary,overall,verified,unixReviewTime,true_fake,true_category
REVIEWER_00000,ASIN_9935,It is okay for the price. Does what it says but nothing special. Great gift idea.,It is okay for the price. Does what it says but no,3.0,True,1612376383,0,neutral
REVIEWER_00001,ASIN_1434,It is okay for the price. Does what it says but nothing special. Great gift idea.,It is okay for the price. Does what it says but no,3.0,True,1628291459,0,neutral
REVIEWER_00002,ASIN_1106,Love this product! It has made my daily routine so much easier. Very useful item.,Love this product! It has made my daily routine so,5.0,True,1634920550,0,positive
REVIEWER_00003,ASIN_6514,Item arrived damaged due to bad packaging during shipping. Great gift idea.,Item arrived damaged due to bad packaging during s,2.0,True,1612888807,0,delivery
REVIEWER_00004,ASIN_1711,Great quality item. Very happy with my purchase. Highly recommended!,Great quality item. Very happy with my purchase. H,5.0,True,1633944935,0,positive
REVIEWER_00005,ASIN_6925,Very disappointed. Product looks nothing like the pictures. Would buy again.,Very disappointed. Product looks nothing like the ,2.0,True,1628831923,0,negative
REVIEWER_00006,ASIN_2307,Great quality item. Very happy with my purchase. Highly recommended!,Great quality item. Very happy with my purchase. H,4.0,True,1638158900,0,positive
REVIEWER_00007,ASIN_3664,Great quality item. Very happy with my purchase. Highly recommended! Good value.,Great quality item. Very happy with my purchase. H,5.0,True,1621880412,0,positive
REVIEWER_00008,ASIN_5010,Late delivery and the item was defective. Extremely frustrating.,Late delivery and the item was defective. Extremel,1.0,True,1614942077,0,negative
REVIEWER_00009,ASIN_1916,Late delivery and the item was defective. Extremely frustrating.,Late delivery and the item was defective. Extremel,1.0,True,1617144777,0,negative
REVIEWER_00010,ASIN_6155,Delivery was delayed by ten days. Very poor logistics. Great gift idea.,Delivery was delayed by ten days. Very poor logist,2.0,True,1616593762,0,delivery
REVIEWER_00011,ASIN_5040,Absolutely the best thing I have ever bought. 10/10 would recommend!!!! Great gift idea.,Absolutely the best thing I have ever bought. 10/1,5.0,False,1634456882,1,fake
REVIEWER_00012,ASIN_4593,Works as described. Nothing exceptional though.,Works as described. Nothing exceptional though.,3.0,True,1614100843,0,neutral
REVIEWER_00013,ASIN_3621,"Average product. Some things work well, others not so much.","Average product. Some things work well, others not",3.0,True,1636036973,0,neutral
REVIEWER_00014,ASIN_8668,Wonderful wonderful! Best purchase ever! Amazing quality amazing price!,Wonderful wonderful! Best purchase ever! Amazing q,5.0,False,1627213331,1,fake
REVIEWER_00015,ASIN_9797,Love this product! It has made my daily routine so much easier.,Love this product! It has made my daily routine so,4.0,True,1634654478,0,positive
REVIEWER_00016,ASIN_5315,"Wonderful item, very well made. Arrived earlier than expected. Great gift idea.","Wonderful item, very well made. Arrived earlier th",4.0,True,1626256082,0,positive
REVIEWER_00017,ASIN_9317,The courier lost my package and it arrived two weeks after expected.,The courier lost my package and it arrived two wee,1.0,True,1629892849,0,delivery
REVIEWER_00018,ASIN_9689,"Wonderful item, very well made. Arrived earlier than expected.","Wonderful item, very well made. Arrived earlier th",4.0,True,1640278727,0,positive
REVIEWER_00019,ASIN_6038,"Wonderful item, very well made. Arrived earlier than expected. Would buy again.","Wonderful item, very well made. Arrived earlier th",5.0,True,1617493886,0,positive
REVIEWER_00020,ASIN_9727,Incredible product. Customer support was also very helpful. Recommend to friends.,Incredible product. Customer support was also very,4.0,True,1635156339,0,positive
REVIEWER_00021,ASIN_4470,Really impressed with the build quality. Delivery was super fast. Very useful item.,Really impressed with the build quality. Delivery ,4.0,True,1640628364,0,positive
REVIEWER_00022,ASIN_7118,"Not bad, not great either. Might be useful for some people.","Not bad, not great either. Might be useful for som",3.0,True,1624159399,0,neutral
REVIEWER_00023,ASIN_4770,Material is not as advertised. Feels very flimsy and fragile. Bought for my wife.,Material is not as advertised. Feels very flimsy a,1.0,True,1629203973,0,quality
REVIEWER_00024,ASIN_2160,Great quality item. Very happy with my purchase. Highly recommended! Bought for my wife.,Great quality item. Very happy with my purchase. H,4.0,True,1626711416,0,positive
REVIEWER_00025,ASIN_8744,Really impressed with the build quality. Delivery was super fast.,Really impressed with the build quality. Delivery ,4.0,True,1617612834,0,positive
REVIEWER_00026,ASIN_7939,Item arrived damaged due to bad packaging during shipping. Good value.,Item arrived damaged due to bad packaging during s,1.0,True,1623253503,0,delivery
REVIEWER_00027,ASIN_2790,Terrible quality. Broke after just two days. Total waste of money. Good value.,Terrible quality. Broke after just two days. Total,1.0,True,1617802722,0,negative
REVIEWER_00028,ASIN_5092,Love this product! It has made my daily routine so much easier. Great gift idea.,Love this product! It has made my daily routine so,5.0,True,1638802079,0,positive
REVIEWER_00029,ASIN_2528,Material is not as advertised. Feels very flimsy and fragile. Very useful item.,Material is not as advertised. Feels very flimsy a,1.0,True,1640542917,0,quality
REVIEWER_00030,ASIN_7570,Shipping took forever. My order was stuck in transit for two weeks.,Shipping took forever. My order was stuck in trans,1.0,True,1639740157,0,delivery
REVIEWER_00031,ASIN_8454,Fantastic! Works like a charm. Great value for money.,Fantastic! Works like a charm. Great value for mon,4.0,True,1619030575,0,positive
REVIEWER_00032,ASIN_1958,Cheaply made. The description is completely misleading. Would buy again.,Cheaply made. The description is completely mislea,2.0,True,1628893265,0,negative
REVIEWER_00033,ASIN_8811,Best product ever! Amazing! Buy now! You will love it! Five stars! Very useful item.,Best product ever! Amazing! Buy now! You will love,5.0,False,1626332058,1,fake
REVIEWER_00034,ASIN_4044,Motor broke after three days. Extremely poor build quality. Very useful item.,Motor broke after three days. Extremely poor build,1.0,True,1611758394,0,quality
REVIEWER_00035,ASIN_1651,"Not bad, not great either. Might be useful for some people. Very useful item.","Not bad, not great either. Might be useful for som",3.0,True,1630242194,0,neutral
REVIEWER_00036,ASIN_6147,Incredible product. Customer support was also very helpful.,Incredible product. Customer support was also very,5.0,True,1617468171,0,positive
REVIEWER_00037,ASIN_2188,Exceeded my expectations. Fast shipping and excellent packaging.,Exceeded my expectations. Fast shipping and excell,5.0,True,1609771774,0,positive
REVIEWER_00038,ASIN_3170,Do not buy this. It broke immediately and smells strange. Great gift idea.,Do not buy this. It broke immediately and smells s,1.0,True,1640774188,0,negative
REVIEWER_00039,ASIN_9900,Very disappointed. Product looks nothing like the pictures.,Very disappointed. Product looks nothing like the ,1.0,True,1633066082,0,negative
REVIEWER_00040,ASIN_2697,Cheaply made. The description is completely misleading.,Cheaply made. The description is completely mislea,1.0,True,1640964462,0,negative
